,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2019-03-06,16.0,2.0,24.0,10.0,10.0,12.0,2019-03-06
2019-03-07,22.0,1.0,26.0,15.0,16.0,15.0,2019-03-07
2019-03-08,26.0,1.0,27.0,15.0,17.0,17.0,2019-03-08
2019-03-09,6.0,2.0,2.0,2.0,1.0,1.0,2019-03-09
2019-03-10,3.0,1.0,2.0,1.0,1.0,1.0,2019-03-10
2019-03-11,19.0,2.0,16.0,8.0,6.0,9.0,2019-03-11
2019-03-12,13.0,1.0,13.0,6.0,4.0,7.0,2019-03-12
2019-03-13,12.0,2.0,8.0,4.0,3.0,5.0,2019-03-13
2019-03-14,23.0,1.0,24.0,12.0,7.0,15.0,2019-03-14
2019-03-15,18.0,1.0,21.0,8.0,6.0,15.0,2019-03-15
2019-03-16,4.0,2.0,2.0,1.0,1.0,2.0,2019-03-16
2019-03-17,3.0,1.0,2.0,1.0,1.0,1.0,2019-03-17
2019-03-18,15.0,2.0,23.0,10.0,9.0,15.0,2019-03-18
2019-03-19,10.0,1.0,13.0,6.0,4.0,6.0,2019-03-19
2019-03-20,9.0,2.0,8.0,4.0,3.0,5.0,2019-03-20
2019-03-21,3.0,1.0,2.0,1.0,1.0,1.0,2019-03-21
2019-03-22,5.0,1.0,1.0,1.0,1.0,1.0,2019-03-22
2019-03-23,3.0,2.0,2.0,1.0,1.0,1.0,2019-03-23
2019-03-24,3.0,1.0,2.0,1.0,1.0,2.0,2019-03-24
